"YEAR","QUARTER","Country","Price-to-income","Time","Price-to-rent","Paper","Indicator","Start","End","Bubble","Bubble_Paper"
1975,"Q1","France",64.9334127678184,1975-01-01,68.3398490090134,"Bago et al. (2021)","Price to Rent",1980-04-01,1981-01-01,"No",NA
1975,"Q1","France",64.9334127678184,1975-01-01,68.3398490090134,"Bago et al. (2021)","Price to Rent",1990-01-01,1990-10-01,"No",NA
1975,"Q1","France",64.9334127678184,1975-01-01,68.3398490090134,"Bago et al. (2021)","Price to Rent",1994-07-01,1997-07-01,"No",NA
1975,"Q1","France",64.9334127678184,1975-01-01,68.3398490090134,"Bago et al. (2021)","Price to Rent",2001-04-01,2009-01-01,"No",NA
1975,"Q1","France",64.9334127678184,1975-01-01,68.3398490090134,"Bago et al. (2021)","Price to Rent",2010-07-01,2012-04-01,"No",NA
1975,"Q1","France",64.9334127678184,1975-01-01,68.3398490090134,"Bago et al. (2021)","Price to Rent",2019-10-01,2020-04-01,"No",NA
1975,"Q1","France",64.9334127678184,1975-01-01,68.3398490090134,"Engsted et al. (2014)","Price to Rent",2003-01-01,2006-07-01,"No",NA
1975,"Q1","France",64.9334127678184,1975-01-01,68.3398490090134,"Gomez-Gonzalez et al. (2018)","Price to Rent",1986-07-01,1988-07-01,"No",NA
1975,"Q1","France",64.9334127678184,1975-01-01,68.3398490090134,"Gomez-Gonzalez et al. (2018)","Price to Rent",1998-10-01,2001-10-01,"No",NA
1975,"Q1","France",64.9334127678184,1975-01-01,68.3398490090134,"Gomez-Gonzalez et al. (2018)","Price to Rent",2003-01-01,2006-04-01,"No",NA
1975,"Q1","France",64.9334127678184,1975-01-01,68.3398490090134,"Gomez-Gonzalez et al. (2018)","Price to Rent",2008-01-01,2009-07-01,"No",NA
1975,"Q1","France",64.9334127678184,1975-01-01,68.3398490090134,"Pavlidis et al. (2016)","Price to Income",2003-01-01,2006-07-01,"No",NA
1975,"Q1","Germany",163.435108847775,1975-01-01,142.154263187937,"Bago et al. (2021)","Price to Rent",1980-07-01,1981-07-01,"No",NA
1975,"Q1","Germany",163.435108847775,1975-01-01,142.154263187937,"Bago et al. (2021)","Price to Rent",1985-01-01,1986-01-01,"No",NA
1975,"Q1","Germany",163.435108847775,1975-01-01,142.154263187937,"Bago et al. (2021)","Price to Rent",1986-10-01,1987-04-01,"No",NA
1975,"Q1","Germany",163.435108847775,1975-01-01,142.154263187937,"Bago et al. (2021)","Price to Rent",1996-10-01,2000-04-01,"No",NA
1975,"Q1","Germany",163.435108847775,1975-01-01,142.154263187937,"Bago et al. (2021)","Price to Rent",2001-10-01,2003-01-01,"No",NA
1975,"Q1","Germany",163.435108847775,1975-01-01,142.154263187937,"Bago et al. (2021)","Price to Rent",2004-04-01,2004-10-01,"No",NA
1975,"Q1","Germany",163.435108847775,1975-01-01,142.154263187937,"Bago et al. (2021)","Price to Rent",2015-10-01,2020-04-01,"No",NA
1975,"Q1","Germany",163.435108847775,1975-01-01,142.154263187937,"Gomez-Gonzalez et al. (2018)","Price to Rent",1989-07-01,1990-10-01,"No",NA
1975,"Q1","Germany",163.435108847775,1975-01-01,142.154263187937,"Gomez-Gonzalez et al. (2018)","Price to Rent",2006-07-01,NA,"No",NA
1975,"Q1","Germany",163.435108847775,1975-01-01,142.154263187937,"Gomez-Gonzalez et al. (2018)","Price to Rent",2009-07-01,2015-04-01,"No",NA
1975,"Q1","Germany",163.435108847775,1975-01-01,142.154263187937,"Pavlidis et al. (2016)","Price to Income",1989-10-01,1991-07-01,"No",NA
1975,"Q1","Germany",163.435108847775,1975-01-01,142.154263187937,"Pavlidis et al. (2016)","Price to Income",2001-01-01,2012-10-01,"No",NA
1975,"Q1","Spain",123.496399617215,1975-01-01,40.0113886704191,"Bago et al. (2021)","Price to Rent",1977-10-01,1978-10-01,"No",NA
1975,"Q1","Spain",123.496399617215,1975-01-01,40.0113886704191,"Bago et al. (2021)","Price to Rent",1986-10-01,1992-01-01,"No",NA
1975,"Q1","Spain",123.496399617215,1975-01-01,40.0113886704191,"Bago et al. (2021)","Price to Rent",2002-01-01,2008-07-01,"No",NA
1975,"Q1","Spain",123.496399617215,1975-01-01,40.0113886704191,"Bago et al. (2021)","Price to Rent",2011-10-01,NA,"No",NA
